,precision,recall,f1-score,support
0,0.16666666666666666,0.25,0.2,4.0
6,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,3.0
8,0.0,0.0,0.0,7.0
9,0.0,0.0,0.0,9.0
10,0.1724137931034483,0.2631578947368421,0.20833333333333334,19.0
11,0.13636363636363635,0.13636363636363635,0.13636363636363635,22.0
12,0.06666666666666667,0.08333333333333333,0.07407407407407407,12.0
13,0.0,0.0,0.0,12.0
14,0.18181818181818182,0.13333333333333333,0.15384615384615385,15.0
15,0.0,0.0,0.0,10.0
16,0.25,0.2,0.2222222222222222,5.0
17,0.0,0.0,0.0,10.0
18,0.0,0.0,0.0,1.0
accuracy,0.1,0.1,0.1,0.1
macro avg,0.06956635318704284,0.07615629984051035,0.07105995855995857,130.0
weighted avg,0.09015231894542239,0.1,0.0928155818540434,130.0
