,precision,recall,f1-score,support
0,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,5.0
8,0.0,0.0,0.0,8.0
9,0.11764705882352941,0.13333333333333333,0.125,15.0
10,0.2727272727272727,0.2,0.23076923076923078,15.0
11,0.29411764705882354,0.20833333333333334,0.24390243902439024,24.0
12,0.20833333333333334,0.4166666666666667,0.2777777777777778,12.0
13,0.3076923076923077,0.25,0.27586206896551724,16.0
14,0.125,0.07692307692307693,0.09523809523809523,13.0
15,0.0,0.0,0.0,7.0
16,0.0,0.0,0.0,2.0
17,0.0,0.0,0.0,8.0
18,0.0,0.0,0.0,1.0
accuracy,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385
macro avg,0.08836784130901779,0.08568376068376067,0.08323664078500075,130.0
weighted avg,0.1689424263519286,0.15384615384615385,0.15519552825385133,130.0
